"2020-10-10";"22:35:59";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-10";"20:48:32";"SCHS";"";"Chart start ";""
"5";"2020-10-10";"20:48:33";"C";"";"File Nr. 458 | File Dev. ID #1, DIVING-PAM-II:  ";""
"15675";"2020-10-10";"20:48:48";"F";"11383";"0";"10";"0";"-";"-"
"19005";"2020-10-10";"20:48:52";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"26415";"2020-10-10";"20:48:59";"F";"11384";"3";"11";"0";"-";"-"
"30005";"2020-10-10";"20:49:03";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"32655";"2020-10-10";"20:49:05";"F";"11385";"6";"11";"0";"-";"-"
"36005";"2020-10-10";"20:49:09";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"41225";"2020-10-10";"20:49:14";"F";"11386";"3";"12";"0";"-";"-"
"45005";"2020-10-10";"20:49:18";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"53715";"2020-10-10";"20:49:26";"F";"11387";"5";"10";"0";"-";"-"
"57005";"2020-10-10";"20:49:30";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"71245";"2020-10-10";"20:49:44";"F";"11388";"5";"10";"0";"-";"-"
"75005";"2020-10-10";"20:49:48";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"80985";"2020-10-10";"20:49:53";"F";"11389";"3";"10";"0";"-";"-"
"84005";"2020-10-10";"20:49:57";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"93095";"2020-10-10";"20:50:06";"F";"11390";"2";"15";"0";"-";"-"
"97005";"2020-10-10";"20:50:10";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"103665";"2020-10-10";"20:50:16";"F";"11391";"3";"10";"0";"-";"-"
"107005";"2020-10-10";"20:50:20";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"109085";"2020-10-10";"20:50:22";"F";"11392";"3";"13";"0";"-";"-"
"113005";"2020-10-10";"20:50:26";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"118095";"2020-10-10";"20:50:31";"F";"11393";"2";"11";"0";"-";"-"
"122005";"2020-10-10";"20:50:35";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"127125";"2020-10-10";"20:50:40";"F";"11394";"6";"10";"0";"-";"-"
"131005";"2020-10-10";"20:50:44";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"133745";"2020-10-10";"20:50:46";"F";"11395";"5";"12";"0";"-";"-"
"138005";"2020-10-10";"20:50:51";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"142025";"2020-10-10";"20:50:55";"F";"11396";"2";"9";"0";"-";"-"
"146005";"2020-10-10";"20:50:59";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"150305";"2020-10-10";"20:51:03";"F";"11397";"1";"11";"0";"-";"-"
"150310";"2020-10-10";"20:51:03";"SCHE";"";"Chart stop ";""
"6415090";"2020-10-10";"22:35:28";"F";"11025";"0";"2";"0";"-";"-"
"6435089";"2020-10-10";"22:35:48";"SCHS";"";"Chart start ";""
